item,itemLabel,startDate,endDate,sourceDate,psid
Q6940437,Muse Hassan Abdulle,2012-08-20,2012-08-28,2022-04-28,Q6940437-F291062C-147E-4779-8C9D-4E1AD5127191
Q646182,Mohamed Osman Jawari,2012-08-28,2018-04-09,2022-04-28,Q646182-506C4CBA-11B8-4F24-AFC1-CADC8C346F08
Q6891386,Mohamed Mursal Sheikh Abdurahman,2018-05-01,2022-04-27,,Q6891386-C1CC3B22-EB06-424A-BC73-D585D90C6286
Q111747917,Abdisalam Ahmed Dhabancad,2022-04-16,2022-04-28,,Q111747917-9FB46D17-35B4-457C-8F59-81965737772B
Q2744150,Adan Mohamed Nuur Madobe,2022-04-28,,,Q2744150-2215A86B-51D5-42AC-9719-635E73068410
