item,itemLabel,startDate,endDate,psid
Q107722514,Hassan Hussien Haji,2020-10-24,,Q107722514-65456FEE-0762-47F5-BB5C-84E90CFE1B06
Q15131027,Mohamed Abdi Mohamed,2009-02-21,2010-11-10,Q15131027-63CDB186-3E8F-49CE-BF0E-7340B106A787
Q16728578,Abdulkadir Sheikh Dini,2015-01-27,2017-03-21,Q16728578-088740A7-014A-40AA-A62E-BBC2BAA59ECD
Q16730085,Hussein Arab Isse,2011-07-20,2012-11-04,Q16730085-5A401966-9254-4C80-9FDB-A8A986F69008
Q16732727,Mohamed Sheikh Hassan,2014-01-17,2015-01-27,Q16732727-0573BB36-4166-427D-BE8F-15AF7CF91395
Q24529631,Hussein Sheikh Abdirahman,2008-01-01,2008-01-01,Q24529631-1D0C4155-2EBC-47C0-985E-F536E7638B27
Q24529631,Hussein Sheikh Abdirahman,1989-01-01,1990-01-01,Q24529631-4AB7EBFC-4AAD-4DE6-B03C-3153A0967AFC
Q29452535,Abdirashid Abdullahi Mohamed,2017-03-21,2017-10-12,Q29452535-87C1F449-6BF2-49D0-B578-518E63AD5D9D
Q4664968,Abdihakim Mohamoud Haji-Faqi,2010-11-12,2011-07-20,Q4664968-5E8AF936-D9D2-48E7-8A5E-C51B851CBB52
Q4664968,Abdihakim Mohamoud Haji-Faqi,2012-11-04,2014-01-17,Q4664968-B646BDEE-4778-4621-905C-0D38352F47D9
Q4682153,Aden Abdullahi Nur,1986-01-01,1988-01-01,Q4682153-ED6082CF-A55C-4992-B879-244671B2F1CF
