@@,itemlabel,item,startdate,enddate
+++,Mohammad Ali Samatar,Q718072,1976,1981-10
+++,Omar Haji Mohamed,,1981-10,
+++,Aden Abdullahi Nur,Q4682153,1986,1988
+++,Hussein Sheikh Abdirahman,Q24529631,1989,1990
+++,Hussein Sheikh Abdirahman,Q24529631,2008,2008
+++,Mohamed Abdi Mohamed,Q15131027,2009-02-21,2010-11-10
+++,Abdihakim Mohamoud Haji-Faqi,Q4664968,2010-11-12,2011-07-20
+++,Hussein Arab Isse,Q16730085,2011-07-20,2012-11-04
+++,Abdihakim Mohamoud Haji-Faqi,Q4664968,2012-11-04,2014-01-17
+++,Mohamed Sheikh Hassan,Q16732727,2014-01-17,2015-01-27
+++,Abdulkadir Sheikh Dini,Q16728578,2015-01-27,2017-03-21
+++,Abdirashid Abdullahi Mohamed,Q29452535,2017-03-21,2017-10-12
---,Hassan Hussien Haji,Q107722514,2020-10-24,
